trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.9607894391523232, 'e': 0.6703200460356393}",20,2,-62.79689808559182,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
41,False,"{'a': 0.9598291299477989, 'e': 0.6636502501363194}",20,0,-85.63473041903634,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
42,False,"{'a': 0.9588697805724845, 'e': 0.6570468198150567}",20,0,-75.8483869785537,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.9579113900670306, 'e': 0.6505090947233165}",25,0,-89.92110494133402,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
44,False,"{'a': 0.9569539574730467, 'e': 0.6440364210831414}",20,0,-38.34293059798412,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
45,False,"{'a': 0.9559974818331, 'e': 0.6376281516217733}",30,19,4.836491770567882,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.9550419621907147, 'e': 0.631283645506926}",25,0,-120.51069537817581,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
47,False,"{'a': 0.9540873975903711, 'e': 0.6250022682827008}",20,0,-156.0511569242732,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
48,False,"{'a': 0.9531337870775047, 'e': 0.6187833918061408}",20,0,-37.230871173328545,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
49,False,"{'a': 0.9521811296985049, 'e': 0.6126263941844161}",25,0,-102.49523313209693,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
50,False,"{'a': 0.951229424500714, 'e': 0.6065306597126334}",20,0,-18.974354704193583,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.950278670532427, 'e': 0.6004955788122659}",20,0,-11.824041255030497,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.9493288668428895, 'e': 0.5945205479701944}",30,0,-66.93527108612105,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
53,False,"{'a': 0.9483800124822982, 'e': 0.5886049696783552}",30,0,-184.48730570213218,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
54,False,"{'a': 0.9474321065017983, 'e': 0.5827482523739896}",30,0,-63.534382024514024,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.9464851479534838, 'e': 0.5769498103804866}",20,0,-49.56365643932604,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 0.9455391358903963, 'e': 0.5712090638488149}",25,4,-72.54400205870178,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 1}",1
57,False,"{'a': 0.9445940693665233, 'e': 0.5655254386995371}",25,0,-101.25598152535422,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
